16:36:30:117	score: 24733.9092430313, time: 4.328, intersecting frames: 4
16:36:30:117	via104: Speed100, CNT via103: Speed100, CNT100 via105: Speed100, CNT90  
16:36:30:117	Considering adjustments from via104 to via105
16:36:30:117	Collisions ignored on via104,via105,via106
16:37:42:813	
16:37:42:813	Applied via103: Speed100, CNT90, 
16:37:42:813	score: 15235.9670366484, time: 4.336, intersecting frames: 3
16:37:42:813	via104: Speed100, CNT via103: Speed100, CNT90 via105: Speed100, CNT90  
16:37:42:813	Considering adjustments from via104 to via105
16:37:42:813	Collisions ignored on via104,via105,via106
16:38:55:725	
16:38:55:725	Applied via105: Speed100, CNT80, 
16:38:55:725	score: 4282.4949926838, time: 4.352, intersecting frames: 2
16:38:55:725	via104: Speed100, CNT via103: Speed100, CNT90 via105: Speed100, CNT80  
16:38:55:725	Considering adjustments from via104 to via105
16:38:55:725	Collisions ignored on via104,via105,via106
16:40:09:360	
16:40:09:360	Applied via105: Speed100, CNT70, 
16:40:09:360	score: 0, time: 4.376, intersecting frames: 0
16:40:09:360	via104: Speed100, CNT via103: Speed100, CNT90 via105: Speed100, CNT70  
16:40:09:360	No collisions found
16:40:09:360	Envelope Solved
16:40:09:360	Closed duplicate for 240R1_OLP_SPOTWELD1ST250, via104 to via106
16:40:09:606	Device positions reloaded
16:40:41:426	Opened duplicate for 240R1_OLP_SPOTWELD1ST250, 8 items
16:40:41:426	via104 to via107
16:40:41:426	Running to via via104 before envelope duplication
16:41:05:229	Considering adjustments from via103 to via106
16:41:05:229	Collisions ignored on via104,via103,73064-01-R_2t,via107
16:42:49:870	
16:42:49:870	Applied via105: Speed100, CNT60, 
16:42:49:870	score: 0, time: 6.308, intersecting frames: 0
16:42:49:870	via103: Speed100, CNT90 via105: Speed100, CNT60 via106: Speed100, CNT100  
16:42:49:870	No collisions found
16:42:49:870	Envelope Solved
16:42:49:870	Closed duplicate for 240R1_OLP_SPOTWELD1ST250, via104 to via107
16:42:50:124	Device positions reloaded
16:43:18:682	Opened duplicate for 240R1_OLP_SPOTWELD1ST250, 8 items
16:43:18:682	73064-01-R_2t to via111
16:43:18:682	Running to via 73064-01-R_2t before envelope duplication
16:43:41:731	Considering adjustments from via107 to via111
16:43:41:731	Collisions ignored on 73064-01-R_2t,via107,via111,via111
16:46:28:127	
16:46:28:127	Applied via109: Speed3000, CNT90, 
16:46:28:127	score: 2600896.26097431, time: 6.708, intersecting frames: 12
16:46:28:127	via107: Speed3000, CNT100 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT90 via111: Speed3000, CNT100  
16:46:28:127	Considering adjustments from via107 to via111
16:46:28:127	Collisions ignored on 73064-01-R_2t,via107,via111,via111
16:49:16:208	
16:49:16:208	Applied via107: Speed3000, CNT90, 
16:49:16:208	score: 2526126.28200966, time: 6.724, intersecting frames: 12
16:49:16:208	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT90 via111: Speed3000, CNT100  
16:49:16:208	Considering adjustments from via107 to via111
16:49:16:208	Collisions ignored on 73064-01-R_2t,via107,via111,via111
16:52:06:080	
16:52:06:080	Applied via109: Speed3000, CNT80, 
16:52:06:080	score: 2284695.86811336, time: 6.748, intersecting frames: 11
16:52:06:080	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT80 via111: Speed3000, CNT100  
16:52:06:080	Considering adjustments from via107 to via111
16:52:06:080	Collisions ignored on 73064-01-R_2t,via107,via111,via111
16:54:59:533	
16:54:59:533	Applied via109: Speed3000, CNT70, 
16:54:59:533	score: 2068510.04862264, time: 6.772, intersecting frames: 9
16:54:59:533	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT70 via111: Speed3000, CNT100  
16:54:59:533	Considering adjustments from via107 to via111
16:54:59:533	Collisions ignored on 73064-01-R_2t,via107,via111,via111
16:57:53:336	
16:57:53:336	Applied via109: Speed3000, CNT60, 
16:57:53:336	score: 1705143.89853461, time: 6.804, intersecting frames: 6
16:57:53:336	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT60 via111: Speed3000, CNT100  
16:57:53:336	Considering adjustments from via107 to via111
16:57:53:336	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:00:48:669	
17:00:48:669	Applied via111: Speed3000, CNT90, 
17:00:48:669	score: 1705143.89853236, time: 6.82, intersecting frames: 6
17:00:48:669	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT60 via111: Speed3000, CNT90  
17:00:48:669	Considering adjustments from via107 to via111
17:00:48:669	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:03:46:423	
17:03:46:423	Applied via109: Speed3000, CNT50, 
17:03:46:423	score: 1705143.89853008, time: 6.844, intersecting frames: 6
17:03:46:423	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT90  
17:03:46:423	Considering adjustments from via107 to via111
17:03:46:423	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:06:44:287	
17:06:44:287	Applied via111: Speed3000, CNT80, 
17:06:44:287	score: 1705143.89852883, time: 6.868, intersecting frames: 6
17:06:44:287	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT80  
17:06:44:287	Considering adjustments from via107 to via111
17:06:44:287	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:09:43:431	
17:09:43:431	Applied via111: Speed3000, CNT70, 
17:09:43:431	score: 1705143.89852656, time: 6.892, intersecting frames: 6
17:09:43:431	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT70  
17:09:43:431	Considering adjustments from via107 to via111
17:09:43:431	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:12:44:127	
17:12:44:127	Applied via111: Speed3000, CNT60, 
17:12:44:127	score: 1705143.89852358, time: 6.924, intersecting frames: 6
17:12:44:127	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT60  
17:12:44:127	Considering adjustments from via107 to via111
17:12:44:127	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:15:47:695	
17:15:47:695	Applied via111: Speed3000, CNT50, 
17:15:47:695	score: 1705143.89852199, time: 6.948, intersecting frames: 6
17:15:47:695	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT50  
17:15:47:695	Considering adjustments from via107 to via111
17:15:47:695	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:18:51:601	
17:18:51:601	Applied via111: Speed3000, CNT40, 
17:18:51:601	score: 1705143.89852012, time: 6.988, intersecting frames: 6
17:18:51:601	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT40  
17:18:51:601	Considering adjustments from via107 to via111
17:18:51:601	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:21:56:665	
17:21:56:665	Applied via111: Speed3000, CNT30, 
17:21:56:665	score: 1705143.89851875, time: 7.02, intersecting frames: 6
17:21:56:665	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT30  
17:21:56:665	Considering adjustments from via107 to via111
17:21:56:665	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:25:03:490	
17:25:03:490	Applied via111: Speed3000, CNT20, 
17:25:03:490	score: 1705143.8985174, time: 7.068, intersecting frames: 6
17:25:03:490	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT20  
17:25:03:490	Considering adjustments from via107 to via111
17:25:03:490	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:28:11:291	
17:28:11:291	Applied via111: Speed3000, CNT10, 
17:28:11:291	score: 1705143.89851474, time: 7.124, intersecting frames: 6
17:28:11:291	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT10  
17:28:11:291	Considering adjustments from via107 to via111
17:28:11:291	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:31:21:144	
17:31:21:144	Applied via111: Speed3000, CNT0, 
17:31:21:144	score: 1705143.89851379, time: 7.14000000000001, intersecting frames: 6
17:31:21:144	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT50 via111: Speed3000, CNT0  
17:31:21:144	Considering adjustments from via107 to via111
17:31:21:144	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:34:14:012	
17:34:14:012	Applied via109: Speed3000, CNT40, 
17:34:14:012	score: 1705143.8985118, time: 7.18000000000001, intersecting frames: 6
17:34:14:012	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT40 via111: Speed3000, CNT0  
17:34:14:012	Considering adjustments from via107 to via111
17:34:14:012	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:36:50:607	
17:36:50:607	Applied via109: Speed3000, CNT30, 
17:36:50:607	score: 1705143.89851146, time: 7.21200000000001, intersecting frames: 6
